date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:11	12413/12413	---M-Z	200	added ('OK')	text/html	etag:%226ea3a9b-307d-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/services/advisory-and-consultancy.html	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/services/advisory-and-consultancy.html	(from http://www.thesixdots.com/)
14:56:12	454/454	---M--	200	added ('OK')	image/svg+xml	etag:%226dc4130-1c6-5d74a8c3e5400%22	http://www.thesixdots.com/assets/img/wave-top.svg	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/img/wave-top.svg	(from http://www.thesixdots.com/)
14:56:12	417/417	---M--	200	added ('OK')	image/svg+xml	etag:%226dc412f-1a1-5d74a8c3e5400%22	http://www.thesixdots.com/assets/img/wave-bottom.svg	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/img/wave-bottom.svg	(from http://www.thesixdots.com/)
14:56:13	1095/1095	---M--	200	added ('OK')	image/png	etag:%226dc4107-447-5d74a8c1fcf80%22	http://www.thesixdots.com/assets/img/digital-6-DLogo-NEW-B&W-DOTS.png	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/img/digital-6-DLogo-NEW-B&W-DOTS.png	(from http://www.thesixdots.com/)
14:56:13	77/77	---MCZ	302	error ('Found')	text/plain	date:Fri,%2010%20Jun%202022%2004:56:12%20GMT	https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	C:/My%20Web%20Sites/Create%20Website/unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.25.delayed	(from http://www.thesixdots.com/)
14:56:13	345431/345431	---MCZ	200	added ('OK')	application/javascript	etag:%2254557-mEzLpqpg5bSX6hg9TQvipFKQcc8%22	https://unpkg.com/@lottiefiles/lottie-player@1.5.7/dist/lottie-player.js	C:/My%20Web%20Sites/Create%20Website/unpkg.com/@lottiefiles/lottie-player@1.5.7/dist/lottie-player.js	(from http://www.thesixdots.com/)
14:56:15	89475/89475	---M-Z	200	added ('OK')	application/javascript	etag:%226e82ed9-15d83-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/js/jquery.min.js	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/js/jquery.min.js	(from http://www.thesixdots.com/)
14:56:19	83204/83204	---M-Z	200	added ('OK')	application/javascript	etag:%226b83967-14504-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/bootstrap/js/bootstrap.min.js	(from http://www.thesixdots.com/)
14:56:19	20192/20192	---M-Z	200	added ('OK')	application/javascript	etag:%226e82edd-4ee0-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/js/smart-forms.min.js	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/js/smart-forms.min.js	(from http://www.thesixdots.com/)
14:56:19	450/450	---M-Z	200	added ('OK')	application/javascript	etag:%226e82ed4-1c2-5d74a8c3e5400-gzip%22	http://www.thesixdots.com/assets/js/bs-init.js	C:/My%20Web%20Sites/Create%20Website/www.thesixdots.com/assets/js/bs-init.js	(from http://www.thesixdots.com/)
